article_id	variable	dependent_expert	independent_expert	central_expert	control_expert	dontknow_expert
2112	ABROAD	0	1	0	0	0
2112	CITIZEN	1	0	0	0	0
2124	GOVUNEMP	1	0	0	0	0
2124	GOVMINC	1	0	0	0	0
2124	GOVJOBS	1	0	0	0	0
3974	IMPORTS	1	0	0	0	0
3986	MUSTRET	1	0	0	0	0
3987	BUSTAX	1	0	0	0	0
3987	INCTAX	1	0	0	0	0
3987	TAXSHARE	1	0	0	0	0
3988	OBEYLAW	1	0	1	0	0
3990	LABORPOW	1	0	1	0	0
3992	RELIG	1	0	1	0	0
3992	DENOM	1	0	1	0	0
3992	AGE	0	0	0	1	0
3992	SEX	0	0	0	1	0
3992	EDUC	0	0	0	1	0
3992	MAATTEND	0	1	1	0	0
3992	PAATTEND	0	1	1	0	0
3992	GOD	1	0	1	0	0
3992	NEARGOD	1	0	1	0	0
3992	THEISM	1	0	1	0	0
3992	MARELKID	0	1	1	0	0
3992	PARELKID	0	0	0	0	0
3992	ATTEND	1	0	1	0	0
3997	RANK	1	0	1	0	0
3997	CONWLTH	1	0	1	0	0
3997	CONCLASS	1	0	1	0	0
3997	VOTE88	0	1	1	0	0
3997	PRES88	0	1	1	0	0
3997	IF88WHO	0	1	0	0	0
3997	POLVIEWS	0	1	0	0	0
3997	POLVIEWY	0	1	0	0	0
3997	POLVIEWX	0	1	0	0	0
3997	PARTYID	0	1	1	0	0
3997	AGE	0	0	0	1	0
3997	SEX	0	0	0	1	0
3997	RELIG	0	0	0	1	0
3997	ATTEND	0	0	0	1	0
3997	XNORCSIZ	0	0	0	1	0
3997	EDUC	0	1	1	0	0
3997	INCOME	0	1	1	0	0
3997	OCC	0	1	1	0	0
4007	AGE	0	0	0	1	0
4007	EDUC	0	1	1	0	0
4007	SEX	0	0	0	1	0
4007	PARTYID	0	1	1	0	0
4007	INCOME	0	1	1	0	0
4007	OCC	0	1	1	0	0
4007	WKSUP	0	1	1	0	0
4007	WRKSLF	0	1	1	0	0
4007	CLASS	0	1	1	0	0
4007	PAYMASON	0	0	1	0	0
4007	PAYDOC	1	0	1	0	0
4007	PAYCLERK	1	0	0	0	0
4007	PAYOWNER	1	0	0	0	0
4007	PAYEXEC	1	0	1	0	0
4007	PAYSKILL	1	0	1	0	0
4007	PAYFARM	1	0	1	0	0
4007	PAYSEC	1	0	0	0	0
4007	PAYBUS	1	0	0	0	0
4007	PAYUNSKL	1	0	1	0	0
4007	PAYCABNT	1	0	1	0	0
4007	GIVMASON	1	0	1	0	0
4007	GIVDOC	1	0	1	0	0
4007	GIVCLERK	1	0	0	0	0
4007	GIVOWNER	1	0	1	0	0
4007	GIVEXEC	1	0	1	0	0
4007	GIVSKILL	1	0	1	0	0
4007	GIVFARM	1	0	1	0	0
4007	GIVSEC	1	0	0	0	0
4007	GIVBUS	1	0	0	0	0
4007	GIVUNSKL	1	0	1	0	0
4007	GIVCABNT	1	0	1	0	0
4013	PROUDSPT	1	0	1	0	0
4013	PROUDART	1	0	1	0	0
4013	PROUDSCI	1	0	1	0	0
4013	PROUDECO	0	0	0	0	0
4013	PROUDSSS	1	0	1	0	0
4013	PROUDDEM	1	0	1	0	0
4013	PROUDPOL	1	0	1	0	0
4013	PROUDMIL	0	0	0	0	0
4013	PROUDHIS	1	0	1	0	0
4013	PROUDGRP	1	0	1	0	0
4013	CLSEUSA	1	0	1	0	0
4013	AGE	0	1	1	0	0
4013	SEX	0	0	0	1	0
4013	EDUC	0	1	1	0	0
4021	FORLAND	0	0	1	0	0
4023	PAYEXEC	1	0	1	0	0
4023	PAYSKILL	1	0	1	0	0
4023	PAYCABNT	1	0	1	0	0
4023	PAYSEC	1	0	0	0	0
4023	PAYFARM	1	0	1	0	0
4023	PAYLAW	1	0	1	0	0
4023	PAYDOC	1	0	1	0	0
4023	PAYCLERK	1	0	0	0	0
4023	PAYOWNER	1	0	1	0	0
4023	PAYJUDGE	1	0	1	0	0
4023	GIVEXEC	1	0	1	0	0
4023	GIVCABNT	1	0	1	0	0
4023	GIVSEC	1	0	0	0	0
4023	GIVFARM	1	0	1	0	0
4023	GIVLAW	1	0	1	0	0
4023	GIVDOC	1	0	1	0	0
4023	GIVCLERK	1	0	0	0	0
4023	GIVOWNER	1	0	0	0	0
4023	GIVJUDGE	1	0	1	0	0
6160	WRKSTAT	0	1	0	0	0
6160	WKSUB	0	1	1	0	0
6160	WKSUBS	0	1	1	0	0
6160	EDUC	0	0	1	0	0
6160	PAEDUC	0	1	1	0	0
